,images,labels
2,b'mcintosh_s_000643.png',4
4,b'cichlid_s_000031.png',1
5,b'phone_s_002161.png',5
7,b'beaker_s_000604.png',3
10,b'computer_keyboard_s_000757.png',5
12,b'sunflower_s_000549.png',2
15,b'computer_keyboard_s_001277.png',5
22,b'rose_s_000373.png',2
23,b'surveillance_system_s_000769.png',5
35,b'clock_s_002291.png',5
50,b'shortfin_mako_s_000172.png',1
52,b'television_s_000158.png',5
53,b'beer_bottle_s_001063.png',3
64,b'morchella_esculenta_s_000159.png',4
66,b'bell_pepper_s_001100.png',4
69,b'valencia_orange_s_000087.png',4
70,b'tulip_s_000253.png',2
80,b'keyboard_s_000092.png',5
95,b'sweet_pepper_s_000921.png',4
98,b'shark_s_002026.png',1
101,b'computer_keyboard_s_000598.png',5
104,b'dessert_plate_s_000192.png',3
106,b'mushroom_s_001005.png',4
121,b'flatfish_s_000465.png',1
123,b'bitter_orange_s_000905.png',4
125,b'eagle_ray_s_000171.png',1
126,b'rose_s_001917.png',2
128,b'temple_orange_s_000014.png',4
132,b'television_system_s_001769.png',5
139,b'television_s_000053.png',5
141,b'poppy_s_001932.png',2
144,b'discharge_lamp_s_001121.png',5
149,b'sour_orange_s_001216.png',4
156,b'keyboard_s_001222.png',5
158,b'flounder_s_001779.png',1
161,b'chalice_s_001706.png',3
163,b'plaice_s_000550.png',1
164,b'sunflower_s_000444.png',2
166,b'keyboard_s_000055.png',5
167,b'orchid_s_000878.png',2
168,b'cup_s_001227.png',3
174,b'poppy_s_001961.png',2
176,b'macoun_s_000065.png',4
183,b'saucer_s_001505.png',3
191,b'numbfish_s_000023.png',1
198,b'telephone_set_s_001471.png',5
200,b'keyboard_s_000991.png',5
201,b'shark_s_000459.png',1
218,b'keyboard_s_001475.png',5
220,b'soda_bottle_s_001739.png',3
221,b'poppy_s_002423.png',2
222,b'telephone_set_s_000154.png',5
223,b'computer_keyboard_s_000417.png',5
225,b'orchid_s_001818.png',2
226,b'computer_keyboard_s_001353.png',5
227,b'goblet_s_000234.png',3
237,b'electric_lamp_s_000649.png',5
239,b'clock_s_000835.png',5
244,b'bowl_s_001230.png',3
246,b'orchid_s_000499.png',2
248,b'keyboard_s_000032.png',5
249,b'discharge_lamp_s_000675.png',5
253,b'mushroom_s_001593.png',4
263,b'telephone_set_s_000659.png',5
270,b'bartlett_pear_s_000454.png',4
271,b'cichlid_fish_s_000335.png',1
274,b'sunflower_s_001373.png',2
281,b'goblet_s_000954.png',3
282,b'carassius_auratus_s_000432.png',1
283,b'bosc_s_000204.png',4
284,b'guitarfish_s_000596.png',1
299,b'navel_orange_s_000469.png',4
304,b'red_delicious_s_000552.png',4
307,b'bowl_s_000883.png',3
311,b'sweet_pepper_s_000638.png',4
313,b'trout_s_000574.png',1
314,b'sunflower_s_001720.png',2
315,b'cup_s_000922.png',3
317,b'northern_spy_s_000602.png',4
318,b'sunflower_s_001391.png',2
324,b'sunflower_s_001846.png',2
328,b'bowl_s_001218.png',3
330,b'orchid_s_001270.png',2
331,b'bosc_s_000883.png',4
332,b'tv_s_002465.png',5
335,b'mako_s_001445.png',1
336,b'butterfly_orchid_s_001188.png',2
341,b'tv_s_000033.png',5
346,b'shark_s_001047.png',1
352,b'poppy_s_000601.png',2
353,b'northern_spy_s_000766.png',4
362,b'sunflower_s_001415.png',2
372,b'rainbow_trout_s_000750.png',1
374,b'television_s_002468.png',5
379,b'mushroom_s_002093.png',4
385,b'bowl_s_000101.png',3
394,b'stingray_s_002101.png',1
398,b'soda_bottle_s_000645.png',3
402,b'bell_pepper_s_000991.png',4
403,b'rushlight_s_000226.png',5
405,b'surveillance_system_s_001215.png',5
414,b'valencia_orange_s_000882.png',4
419,b'lady_tulip_s_000107.png',2
424,b'alarm_clock_s_000740.png',5
426,b'stingray_s_001539.png',1
433,b'pop_bottle_s_001263.png',3
441,b'pearmain_s_000139.png',4
445,b'rose_s_000123.png',2
449,b'trout_s_001341.png',1
456,b'butterfly_orchid_s_001933.png',2
459,b'red_delicious_s_001189.png',4
460,b'rose_s_001126.png',2
466,b'sunflower_s_000507.png',2
468,b'plate_s_000583.png',3
469,b'chalice_s_000481.png',3
472,b'sunflower_s_002364.png',2
473,b'fishplate_s_000122.png',3
478,b'tv_s_000971.png',5
484,b'discharge_lamp_s_001205.png',5
496,b'phone_s_002177.png',5
497,b'bell_pepper_s_000521.png',4
498,b'orchid_s_001494.png',2
502,b'carassius_auratus_s_000240.png',1
508,b'guitarfish_s_000177.png',1
510,b'butterfly_orchid_s_000220.png',2
511,b'tulip_s_001088.png',2
513,b'bartlett_s_000802.png',4
519,b'clock_s_002353.png',5
524,b'poppy_s_000707.png',2
528,b'anjou_s_000404.png',4
532,b'bowl_s_000643.png',3
543,b'cichlid_fish_s_000840.png',1
544,b'saucer_s_000150.png',3
546,b'plaice_s_000350.png',1
548,b'pear_s_001156.png',4
549,b'plaice_s_000110.png',1
551,b'computer_keyboard_s_002296.png',5
558,b'bartlett_pear_s_000444.png',4
572,b'rose_s_001319.png',2
573,b'soda_can_s_000473.png',3
579,b'plaice_s_000047.png',1
582,b'poppy_s_001264.png',2
586,b'disciotis_venosa_s_000196.png',4
587,b'macoun_s_000441.png',4
590,b'bartlett_pear_s_000233.png',4
591,b'poppy_s_001733.png',2
592,b'bartlett_pear_s_000472.png',4
595,b'yellowtail_flounder_s_000243.png',1
596,b'coffee_can_s_001622.png',3
600,b'tv_s_001357.png',5
604,b'discharge_lamp_s_001516.png',5
607,b'butterfly_orchid_s_000865.png',2
613,b'rainbow_trout_s_001311.png',1
625,b'sunflower_s_001371.png',2
628,b'shark_s_001677.png',1
631,b'valencia_orange_s_000296.png',4
632,b'clock_s_002064.png',5
641,b'lamp_s_001826.png',5
643,b'cichlid_fish_s_000302.png',1
646,b'verpa_s_000264.png',4
649,b'orchid_s_000751.png',2
650,b'dwarf_tulip_s_000093.png',2
656,b'shark_s_002270.png',1
658,b'red_delicious_s_000750.png',4
660,b'jug_s_000102.png',3
668,b'desk_phone_s_000500.png',5
670,b'dessert_plate_s_000127.png',3
671,b'bartlett_pear_s_000211.png',4
676,b'rose_s_000222.png',2
681,b'tangerine_s_000443.png',4
685,b'bartlett_s_000838.png',4
691,b'turbot_s_001406.png',1
699,b'milk_can_s_000439.png',3
713,b'mushroom_s_000703.png',4
715,b'stingray_s_000665.png',1
719,b'poppy_s_001782.png',2
727,b'poppy_s_002772.png',2
732,b'goldfish_s_002650.png',1
734,b'flounder_s_000775.png',1
735,b'computer_keyboard_s_000890.png',5
737,b'poppy_s_001857.png',2
739,b'rose_s_000257.png',2
743,b'rose_s_001882.png',2
747,b'clock_s_001539.png',5
749,b'plate_iron_s_000997.png',3
751,b'tulip_s_000947.png',2
752,b'valencia_orange_s_000601.png',4
756,b'bosc_s_000407.png',4
760,b'navel_orange_s_000143.png',4
761,b'whiskey_jug_s_000277.png',3
768,b'tulip_s_001325.png',2
773,b'mushroom_s_001276.png',4
779,b'clock_s_000653.png',5
781,b'soda_can_s_000033.png',3
788,b'mountain_rose_s_001226.png',2
789,b'macoun_s_000009.png',4
792,b'orange_s_002710.png',4
796,b'sweet_pepper_s_000279.png',4
807,b'plate_s_002308.png',3
815,b'lamp_s_001770.png',5
822,b'cortland_s_000650.png',4
837,b'poppy_s_000495.png',2
843,b'beaker_s_000099.png',3
853,b'tv_s_002532.png',5
859,b'lamna_nasus_s_000018.png',1
861,b'sweet_pepper_s_001132.png',4
864,b'orchid_s_000122.png',2
869,b'trout_s_000575.png',1
871,b'sunflower_s_001383.png',2
872,b'clock_s_000833.png',5
874,b'bitter_orange_s_000009.png',4
880,b'bell_pepper_s_000600.png',4
889,b'bowl_s_002145.png',3
897,b'poppy_s_000462.png',2
898,b'shark_s_001253.png',1
899,b'poppy_s_001352.png',2
904,b'winter_flounder_s_000509.png',1
907,b'orchid_s_000350.png',2
912,b'tv_s_000869.png',5
913,b'poppy_s_000566.png',2
915,b'red_delicious_s_001702.png',4
928,b'beer_can_s_000406.png',3
933,b'lamp_s_000520.png',5
937,b'electric_lamp_s_000269.png',5
942,b'bowl_s_001679.png',3
944,b'shark_s_001001.png',1
945,b'clock_s_000738.png',5
946,b'chalice_s_000722.png',3
947,b'rose_s_001048.png',2
953,b'telephone_s_001949.png',5
955,b'halibut_s_000356.png',1
960,b'goldfish_s_002509.png',1
965,b'stingray_s_001052.png',1
966,b'bowl_s_000405.png',3
971,b'bell_pepper_s_000539.png',4
976,b'orchid_s_001119.png',2
977,b'beaker_s_000506.png',3
985,b'rainbow_trout_s_001404.png',1
986,b'mushroom_s_000638.png',4
1000,b'butterfly_orchid_s_000227.png',2
1002,b'mushroom_s_000343.png',4
1010,b'flounder_s_000091.png',1
1014,b'stingray_s_000123.png',1
1017,b'carassius_auratus_s_000013.png',1
1020,b'navel_orange_s_001368.png',4
1025,b'eagle_ray_s_000286.png',1
1026,b'rainbow_trout_s_001091.png',1
1027,b'stingray_s_000132.png',1
1029,b'sunflower_s_000348.png',2
1039,b'soda_bottle_s_001134.png',3
1051,b'goblet_s_001280.png',3
1056,b'tulip_s_001533.png',2
1057,b'valencia_orange_s_001719.png',4
1059,b'temple_orange_s_000143.png',4
1062,b'computer_keyboard_s_000153.png',5
1063,b'shark_s_001279.png',1
1064,b'dessert_plate_s_000283.png',3
1072,b'navel_orange_s_001179.png',4
1073,b'dasyatis_centroura_s_000044.png',1
1082,b'mako_shark_s_001119.png',1
1083,b'telephone_s_000724.png',5
1088,b'stingray_s_000555.png',1
1091,b'mushroom_s_001380.png',4
1094,b'navel_orange_s_000351.png',4
1098,b'mushroom_s_000426.png',4
1099,b'shark_s_000129.png',1
1101,b'stingray_s_000028.png',1
1102,b'orchid_s_001281.png',2
1103,b'orchid_s_000456.png',2
1104,b'butterfly_orchid_s_000876.png',2
1112,b'tulipa_clusiana_s_000037.png',2
1126,b'mushroom_s_001333.png',4
1129,b'carassius_auratus_s_000443.png',1
1130,b'dessert_plate_s_000190.png',3
1136,b'sunflower_s_001364.png',2
1137,b'surveillance_system_s_000775.png',5
1143,b'sunflower_s_000175.png',2
1144,b'orchid_s_001611.png',2
1145,b'plaice_s_001555.png',1
1165,b'bottle_s_000439.png',3
1173,b'bowl_s_002671.png',3
1178,b'orchid_s_001721.png',2
1186,b'telephone_set_s_000749.png',5
1190,b'television_system_s_000663.png',5
1197,b'butterfly_orchid_s_000590.png',2
1200,b'television_s_002790.png',5
1203,b'lamp_s_002301.png',5
1209,b'mushroom_s_001277.png',4
1231,b'butterfly_orchid_s_000402.png',2
1236,b'lamp_s_001962.png',5
1238,b'macoun_s_000966.png',4
1244,b'telephone_s_000856.png',5
1247,b'eagle_ray_s_000041.png',1
1251,b'fishplate_s_000333.png',3
1252,b'beer_can_s_000595.png',3
1258,b'bell_pepper_s_000996.png',4
1259,b'rosebush_s_000571.png',2
1265,b'morel_s_000473.png',4
1278,b'poppy_s_000252.png',2
1282,b'lamp_s_001223.png',5
1293,b'chalice_s_002049.png',3
1295,b'orchid_s_001116.png',2
1296,b'sunflower_s_000467.png',2
1300,b'beer_can_s_002008.png',3
1310,b'navel_orange_s_001105.png',4
1312,b'telephone_set_s_000349.png',5
1319,b'whiskey_bottle_s_001277.png',3
1327,b'rainbow_trout_s_001002.png',1
1329,b'goblet_s_000276.png',3
1331,b'mountain_rose_s_000703.png',2
1342,b'desk_phone_s_000456.png',5
1344,b'tulip_s_001885.png',2
1345,b'cichlid_s_000048.png',1
1351,b'cichlid_s_001552.png',1
1355,b'bowl_s_000299.png',3
1356,b'eagle_ray_s_000054.png',1
1358,b'tulip_s_001153.png',2
1359,b'poppy_s_002335.png',2
1367,b'temple_orange_s_000269.png',4
1375,b'beer_bottle_s_002102.png',3
1389,b'lamp_s_001635.png',5
1390,b'shark_s_000378.png',1
1392,b'stingray_s_001377.png',1
1396,b'goldfish_s_001460.png',1
1402,b'sunflower_s_000960.png',2
1403,b'goblet_s_000211.png',3
1407,b'rainbow_trout_s_000036.png',1
1413,b'bell_pepper_s_000816.png',4
1414,b'milk_can_s_001007.png',3
1416,b'lamp_s_001925.png',5
1423,b'shark_s_000380.png',1
1426,b'jaffa_orange_s_000294.png',4
1427,b'temple_orange_s_000029.png',4
1437,b'dessert_plate_s_000108.png',3
1439,b'phone_s_002661.png',5
1442,b'alarm_clock_s_001125.png',5
1444,b'goblet_s_001374.png',3
1446,b'computer_keyboard_s_002081.png',5
1450,b'butterfly_orchid_s_001053.png',2
1460,b'goblet_s_000167.png',3
1484,b'rose_s_002214.png',2
1485,b'phone_s_000988.png',5
1489,b'bowl_s_000108.png',3
1494,b'keyboard_s_001159.png',5
1495,b'pear_s_001415.png',4
1501,b'bosc_s_002032.png',4
1507,b'bartlett_pear_s_000584.png',4
1508,b'dessert_plate_s_000028.png',3
1513,b'phone_s_002590.png',5
1528,b'mushroom_s_000977.png',4
1532,b'sea_trout_s_000283.png',1
1534,b'rainbow_trout_s_000386.png',1
1536,b'trout_s_001264.png',1
1547,b'lady_tulip_s_000040.png',2
1551,b'soda_bottle_s_000020.png',3
1552,b'plate_s_000335.png',3
1557,b'telephone_s_000406.png',5
1561,b'lady_tulip_s_000163.png',2
1565,b'cichlid_s_000364.png',1
1566,b'dessert_plate_s_000481.png',3
1577,b'butterfly_orchid_s_001950.png',2
1578,b'plate_s_000005.png',3
1579,b'bowl_s_002112.png',3
1580,b'rose_s_002291.png',2
1587,b'bowl_s_001109.png',3
1593,b'bartlett_pear_s_000029.png',4
1608,b'morchella_esculenta_s_000858.png',4
1609,b'rose_s_001758.png',2
1618,b'bosc_s_001091.png',4
1626,b'golden_delicious_s_000001.png',4
1627,b'electric_ray_s_000670.png',1
1634,b'pear_s_001436.png',4
1635,b'bosc_s_001171.png',4
1642,b'poppy_s_000580.png',2
1645,b'bowl_s_000021.png',3
1647,b'poppy_s_000689.png',2
1652,b'cichlid_s_001539.png',1
1660,b'sunflower_s_002128.png',2
1661,b'plate_iron_s_001614.png',3
1662,b'cup_s_001874.png',3
1684,b'pear_s_001796.png',4
1688,b'television_s_000033.png',5
1694,b'bell_pepper_s_000888.png',4
1695,b'poppy_s_001475.png',2
1708,b'trout_s_001685.png',1
1712,b'goldfish_s_000322.png',1
1719,b'chalice_s_002097.png',3
1721,b'surveillance_system_s_001287.png',5
1723,b'sweet_pepper_s_001125.png',4
1725,b'rainbow_trout_s_000144.png',1
1731,b'mountain_rose_s_000241.png',2
1732,b'lemon_sole_s_000034.png',1
1734,b'computer_keyboard_s_000012.png',5
1742,b'dessert_plate_s_000203.png',3
1743,b'soda_can_s_000353.png',3
1748,b'television_s_000557.png',5
1749,b'halibut_s_000640.png',1
1752,b'beer_bottle_s_001733.png',3
1753,b'soda_can_s_000093.png',3
1754,b'poppy_s_000557.png',2
1756,b'tulip_s_000853.png',2
1759,b'turbot_s_001268.png',1
1760,b'soda_can_s_000161.png',3
1773,b'pear_s_001639.png',4
1781,b'beer_can_s_000393.png',3
1785,b'shark_s_000643.png',1
1792,b'soda_can_s_000942.png',3
1796,b'stingray_s_001540.png',1
1799,b'bowl_s_002562.png',3
1806,b'dessert_plate_s_000067.png',3
1808,b'cichlid_s_001620.png',1
1809,b'phone_s_001509.png',5
1812,b'bottle_s_000411.png',3
1813,b'verpa_s_001096.png',4
1815,b'tulipa_clusiana_s_000060.png',2
1825,b'tulip_s_001630.png',2
1828,b'northern_spy_s_000177.png',4
1833,b'beer_can_s_000019.png',3
1843,b'cichlid_s_000765.png',1
1846,b'disciotis_venosa_s_000009.png',4
1849,b'television_system_s_001643.png',5
1851,b'clock_s_000628.png',5
1854,b'sunflower_s_000980.png',2
1857,b'bell_pepper_s_000196.png',4
1875,b'navel_orange_s_000534.png',4
1876,b'ampule_s_000004.png',3
1884,b'tv_s_002442.png',5
1888,b'orchid_s_001577.png',2
1890,b'tulip_s_000245.png',2
1894,b'poppy_s_002504.png',2
1896,b'rose_s_000377.png',2
1897,b'bowl_s_001450.png',3
1898,b'beer_can_s_000113.png',3
1911,b'mushroom_s_002143.png',4
1912,b'rainbow_trout_s_001000.png',1
1913,b'sunflower_s_001255.png',2
1914,b'shortfin_mako_s_000713.png',1
1919,b'sunflower_s_000404.png',2
1920,b'cup_s_000460.png',3
1932,b'electric_lamp_s_000198.png',5
1941,b'telephone_s_001801.png',5
1945,b'sweet_pepper_s_000381.png',4
1946,b'shark_s_001924.png',1
1948,b'poppy_s_001026.png',2
1958,b'mushroom_s_000962.png',4
1962,b'beer_bottle_s_000270.png',3
1968,b'plaice_s_000845.png',1
1971,b'goblet_s_001628.png',3
1972,b'lady_tulip_s_000449.png',2
1973,b'stingray_s_000395.png',1
1975,b'coffee_can_s_000261.png',3
1979,b'golden_delicious_s_000261.png',4
1989,b'bowl_s_002365.png',3
1990,b'candle_s_000126.png',5
1993,b'cichlid_fish_s_001330.png',1
1994,b'mushroom_s_000577.png',4
1997,b'telephone_set_s_000759.png',5
2002,b'telephone_s_000809.png',5
2004,b'beer_can_s_000228.png',3
2008,b'television_s_000813.png',5
2018,b'telephone_set_s_000274.png',5
2023,b'bartlett_pear_s_000036.png',4
2024,b'navel_orange_s_000458.png',4
2032,b'television_system_s_001035.png',5
2033,b'halibut_s_000157.png',1
2044,b'goblet_s_001432.png',3
2052,b'rainbow_trout_s_001187.png',1
2053,b'clock_s_001608.png',5
2061,b'shark_s_001295.png',1
2062,b'roughtail_stingray_s_000025.png',1
2067,b'electric_lamp_s_000252.png',5
2068,b'trout_s_000203.png',1
2074,b'rose_s_001374.png',2
2076,b'cortland_s_000771.png',4
2078,b'bowl_s_000613.png',3
2080,b'goblet_s_001308.png',3
2083,b'rosebush_s_000276.png',2
2084,b'tulipa_clusiana_s_000098.png',2
2087,b'bartlett_pear_s_000573.png',4
2091,b'flatfish_s_001597.png',1
2095,b'poppy_s_001039.png',2
2101,b'tulip_s_002219.png',2
2109,b'sweet_pepper_s_001189.png',4
2110,b'shark_s_000377.png',1
2112,b'bosc_s_000150.png',4
2117,b'shark_s_000148.png',1
2124,b'cichlid_fish_s_000044.png',1
2126,b'red_delicious_s_001572.png',4
2127,b'fishbowl_s_000314.png',3
2129,b'electric_lamp_s_000618.png',5
2130,b'plate_iron_s_000974.png',3
2135,b'clock_s_000024.png',5
2143,b'valencia_orange_s_000590.png',4
2147,b'sunflower_s_002395.png',2
2148,b'alarm_clock_s_000297.png',5
2150,b'television_system_s_000644.png',5
2155,b'eagle_ray_s_000178.png',1
2162,b'lamp_s_001024.png',5
2168,b'electric_lamp_s_000498.png',5
2169,b'shark_s_000166.png',1
2171,b'phone_s_000854.png',5
2172,b'soda_bottle_s_000041.png',3
2174,b'sweet_pepper_s_000361.png',4
2178,b'goblet_s_001139.png',3
2194,b'lamp_s_002036.png',5
2198,b'rose_s_000229.png',2
2205,b'pear_s_001437.png',4
2206,b'electric_lamp_s_000201.png',5
2209,b'sour_orange_s_000934.png',4
2211,b'fishplate_s_000242.png',3
2212,b'clock_s_000710.png',5
2213,b'computer_keyboard_s_000194.png',5
2214,b'computer_keyboard_s_001813.png',5
2216,b'poppy_s_001361.png',2
2217,b'goldfish_s_002646.png',1
2222,b'flounder_s_002758.png',1
2224,b'lamp_s_000393.png',5
2230,b'turbot_s_000789.png',1
2235,b'telephone_set_s_000427.png',5
2237,b'bowl_s_002435.png',3
2242,b'orchid_s_001743.png',2
2243,b'tulip_s_000342.png',2
2244,b'shark_s_001498.png',1
2249,b'whiskey_bottle_s_000019.png',3
2250,b'goldfish_s_002812.png',1
2251,b'alarm_clock_s_000163.png',5
2252,b'navel_orange_s_000313.png',4
2264,b'golden_delicious_s_001860.png',4
2273,b'morel_s_000090.png',4
2277,b'mako_s_000827.png',1
2279,b'lady_tulip_s_000637.png',2
2289,b'disciotis_venosa_s_000037.png',4
2292,b'mackerel_shark_s_001046.png',1
2295,b'poppy_s_000432.png',2
2300,b'clavier_s_000107.png',5
2301,b'chalice_s_002125.png',3
2302,b'poppy_s_000639.png',2
2304,b'goblet_s_000500.png',3
2311,b'computer_keyboard_s_001479.png',5
2312,b'lamp_s_001599.png',5
2315,b'mushroom_s_001621.png',4
2316,b'fishplate_s_001116.png',3
2320,b'bosc_s_000610.png',4
2321,b'rose_s_001843.png',2
2325,b'shark_s_002287.png',1
2326,b'guitarfish_s_000687.png',1
2331,b'bell_pepper_s_001208.png',4
2333,b'bosc_s_000792.png',4
2334,b'television_system_s_001206.png',5
2336,b'dessert_plate_s_000104.png',3
2337,b'goblet_s_000759.png',3
2341,b'lamp_s_001806.png',5
2342,b'bowl_s_001543.png',3
2346,b'sweet_pepper_s_001424.png',4
2350,b'navel_orange_s_001048.png',4
2351,b'bell_pepper_s_001212.png',4
2353,b'telephone_set_s_001215.png',5
2365,b'plaice_s_000340.png',1
2368,b'goldfish_s_001335.png',1
2371,b'pear_s_000745.png',4
2378,b'phone_s_001735.png',5
2379,b'valencia_orange_s_001847.png',4
2381,b'mushroom_s_002084.png',4
2387,b'bowl_s_002430.png',3
2391,b'goblet_s_001414.png',3
2397,b'navel_orange_s_000957.png',4
2401,b'desk_phone_s_000127.png',5
2407,b'valencia_orange_s_001401.png',4
2408,b'chalice_s_000252.png',3
2410,b'shark_s_000042.png',1
2416,b'television_system_s_000515.png',5
2420,b'bell_pepper_s_000590.png',4
2422,b'poppy_s_001261.png',2
2430,b'orchid_s_001250.png',2
2431,b'orchid_s_001241.png',2
2442,b'mushroom_s_000552.png',4
2445,b'shark_s_001909.png',1
2453,b'pear_s_000775.png',4
2460,b'rosebush_s_001584.png',2
2465,b'lamp_s_001025.png',5
2466,b'rosebush_s_001682.png',2
2472,b'sand_dab_s_000226.png',1
2474,b'trout_s_001572.png',1
2476,b'mushroom_s_000996.png',4
2487,b'tulipa_clusiana_s_000005.png',2
2489,b'surveillance_system_s_000771.png',5
2492,b'plaice_s_000443.png',1
2493,b'stingray_s_001404.png',1
2496,b'sour_orange_s_000558.png',4
2498,b'lamp_s_002027.png',5
2500,b'red_delicious_s_002126.png',4
2501,b'goblet_s_000080.png',3
2503,b'alarm_clock_s_000950.png',5
2508,b'mountain_rose_s_001076.png',2
2513,b'dessert_plate_s_000422.png',3
2514,b'trout_s_001497.png',1
2521,b'flatfish_s_001332.png',1
2523,b'rainbow_trout_s_001578.png',1
2524,b'saucer_s_000415.png',3
2527,b'cup_s_002017.png',3
