,Unnamed: 0,images,labels,2,4,5,7,10,12
0,2,b'mcintosh_s_000643.png',4.0,,,,,,
1,4,b'cichlid_s_000031.png',1.0,,,,,,
2,5,b'phone_s_002161.png',5.0,,,,,,
3,7,b'beaker_s_000604.png',3.0,,,,,,
4,10,b'computer_keyboard_s_000757.png',5.0,,,,,,
5,12,b'sunflower_s_000549.png',2.0,,,,,,
6,15,b'computer_keyboard_s_001277.png',5.0,,,,,,
7,22,b'rose_s_000373.png',2.0,,,,,,
8,23,b'surveillance_system_s_000769.png',5.0,,,,,,
9,35,b'clock_s_002291.png',5.0,,,,,,
10,50,b'shortfin_mako_s_000172.png',1.0,,,,,,
11,52,b'television_s_000158.png',5.0,,,,,,
12,53,b'beer_bottle_s_001063.png',3.0,,,,,,
13,64,b'morchella_esculenta_s_000159.png',4.0,,,,,,
14,66,b'bell_pepper_s_001100.png',4.0,,,,,,
15,69,b'valencia_orange_s_000087.png',4.0,,,,,,
16,70,b'tulip_s_000253.png',2.0,,,,,,
17,80,b'keyboard_s_000092.png',5.0,,,,,,
18,95,b'sweet_pepper_s_000921.png',4.0,,,,,,
19,98,b'shark_s_002026.png',1.0,,,,,,
20,101,b'computer_keyboard_s_000598.png',5.0,,,,,,
21,104,b'dessert_plate_s_000192.png',3.0,,,,,,
22,106,b'mushroom_s_001005.png',4.0,,,,,,
23,121,b'flatfish_s_000465.png',1.0,,,,,,
24,123,b'bitter_orange_s_000905.png',4.0,,,,,,
25,125,b'eagle_ray_s_000171.png',1.0,,,,,,
26,126,b'rose_s_001917.png',2.0,,,,,,
27,128,b'temple_orange_s_000014.png',4.0,,,,,,
28,132,b'television_system_s_001769.png',5.0,,,,,,
29,139,b'television_s_000053.png',5.0,,,,,,
30,141,b'poppy_s_001932.png',2.0,,,,,,
31,144,b'discharge_lamp_s_001121.png',5.0,,,,,,
32,149,b'sour_orange_s_001216.png',4.0,,,,,,
33,156,b'keyboard_s_001222.png',5.0,,,,,,
34,158,b'flounder_s_001779.png',1.0,,,,,,
35,161,b'chalice_s_001706.png',3.0,,,,,,
36,163,b'plaice_s_000550.png',1.0,,,,,,
37,164,b'sunflower_s_000444.png',2.0,,,,,,
38,166,b'keyboard_s_000055.png',5.0,,,,,,
39,167,b'orchid_s_000878.png',2.0,,,,,,
40,168,b'cup_s_001227.png',3.0,,,,,,
41,174,b'poppy_s_001961.png',2.0,,,,,,
42,176,b'macoun_s_000065.png',4.0,,,,,,
43,183,b'saucer_s_001505.png',3.0,,,,,,
44,191,b'numbfish_s_000023.png',1.0,,,,,,
45,198,b'telephone_set_s_001471.png',5.0,,,,,,
46,200,b'keyboard_s_000991.png',5.0,,,,,,
47,201,b'shark_s_000459.png',1.0,,,,,,
48,218,b'keyboard_s_001475.png',5.0,,,,,,
49,220,b'soda_bottle_s_001739.png',3.0,,,,,,
50,221,b'poppy_s_002423.png',2.0,,,,,,
51,222,b'telephone_set_s_000154.png',5.0,,,,,,
52,223,b'computer_keyboard_s_000417.png',5.0,,,,,,
53,225,b'orchid_s_001818.png',2.0,,,,,,
54,226,b'computer_keyboard_s_001353.png',5.0,,,,,,
55,227,b'goblet_s_000234.png',3.0,,,,,,
56,237,b'electric_lamp_s_000649.png',5.0,,,,,,
57,239,b'clock_s_000835.png',5.0,,,,,,
58,244,b'bowl_s_001230.png',3.0,,,,,,
59,246,b'orchid_s_000499.png',2.0,,,,,,
60,248,b'keyboard_s_000032.png',5.0,,,,,,
61,249,b'discharge_lamp_s_000675.png',5.0,,,,,,
62,253,b'mushroom_s_001593.png',4.0,,,,,,
63,263,b'telephone_set_s_000659.png',5.0,,,,,,
64,270,b'bartlett_pear_s_000454.png',4.0,,,,,,
65,271,b'cichlid_fish_s_000335.png',1.0,,,,,,
66,274,b'sunflower_s_001373.png',2.0,,,,,,
67,281,b'goblet_s_000954.png',3.0,,,,,,
68,282,b'carassius_auratus_s_000432.png',1.0,,,,,,
69,283,b'bosc_s_000204.png',4.0,,,,,,
70,284,b'guitarfish_s_000596.png',1.0,,,,,,
71,299,b'navel_orange_s_000469.png',4.0,,,,,,
72,304,b'red_delicious_s_000552.png',4.0,,,,,,
73,307,b'bowl_s_000883.png',3.0,,,,,,
74,311,b'sweet_pepper_s_000638.png',4.0,,,,,,
75,313,b'trout_s_000574.png',1.0,,,,,,
76,314,b'sunflower_s_001720.png',2.0,,,,,,
77,315,b'cup_s_000922.png',3.0,,,,,,
78,317,b'northern_spy_s_000602.png',4.0,,,,,,
79,318,b'sunflower_s_001391.png',2.0,,,,,,
80,324,b'sunflower_s_001846.png',2.0,,,,,,
81,328,b'bowl_s_001218.png',3.0,,,,,,
82,330,b'orchid_s_001270.png',2.0,,,,,,
83,331,b'bosc_s_000883.png',4.0,,,,,,
84,332,b'tv_s_002465.png',5.0,,,,,,
85,335,b'mako_s_001445.png',1.0,,,,,,
86,336,b'butterfly_orchid_s_001188.png',2.0,,,,,,
87,341,b'tv_s_000033.png',5.0,,,,,,
88,346,b'shark_s_001047.png',1.0,,,,,,
89,352,b'poppy_s_000601.png',2.0,,,,,,
90,353,b'northern_spy_s_000766.png',4.0,,,,,,
91,362,b'sunflower_s_001415.png',2.0,,,,,,
92,372,b'rainbow_trout_s_000750.png',1.0,,,,,,
93,374,b'television_s_002468.png',5.0,,,,,,
94,379,b'mushroom_s_002093.png',4.0,,,,,,
95,385,b'bowl_s_000101.png',3.0,,,,,,
96,394,b'stingray_s_002101.png',1.0,,,,,,
97,398,b'soda_bottle_s_000645.png',3.0,,,,,,
98,402,b'bell_pepper_s_000991.png',4.0,,,,,,
99,403,b'rushlight_s_000226.png',5.0,,,,,,
100,405,b'surveillance_system_s_001215.png',5.0,,,,,,
101,414,b'valencia_orange_s_000882.png',4.0,,,,,,
102,419,b'lady_tulip_s_000107.png',2.0,,,,,,
103,424,b'alarm_clock_s_000740.png',5.0,,,,,,
104,426,b'stingray_s_001539.png',1.0,,,,,,
105,433,b'pop_bottle_s_001263.png',3.0,,,,,,
106,441,b'pearmain_s_000139.png',4.0,,,,,,
107,445,b'rose_s_000123.png',2.0,,,,,,
108,449,b'trout_s_001341.png',1.0,,,,,,
109,456,b'butterfly_orchid_s_001933.png',2.0,,,,,,
110,459,b'red_delicious_s_001189.png',4.0,,,,,,
111,460,b'rose_s_001126.png',2.0,,,,,,
112,466,b'sunflower_s_000507.png',2.0,,,,,,
113,468,b'plate_s_000583.png',3.0,,,,,,
114,469,b'chalice_s_000481.png',3.0,,,,,,
115,472,b'sunflower_s_002364.png',2.0,,,,,,
116,473,b'fishplate_s_000122.png',3.0,,,,,,
117,478,b'tv_s_000971.png',5.0,,,,,,
118,484,b'discharge_lamp_s_001205.png',5.0,,,,,,
119,496,b'phone_s_002177.png',5.0,,,,,,
120,497,b'bell_pepper_s_000521.png',4.0,,,,,,
121,498,b'orchid_s_001494.png',2.0,,,,,,
122,502,b'carassius_auratus_s_000240.png',1.0,,,,,,
123,508,b'guitarfish_s_000177.png',1.0,,,,,,
124,510,b'butterfly_orchid_s_000220.png',2.0,,,,,,
125,511,b'tulip_s_001088.png',2.0,,,,,,
126,513,b'bartlett_s_000802.png',4.0,,,,,,
127,519,b'clock_s_002353.png',5.0,,,,,,
128,524,b'poppy_s_000707.png',2.0,,,,,,
129,528,b'anjou_s_000404.png',4.0,,,,,,
130,532,b'bowl_s_000643.png',3.0,,,,,,
131,543,b'cichlid_fish_s_000840.png',1.0,,,,,,
132,544,b'saucer_s_000150.png',3.0,,,,,,
133,546,b'plaice_s_000350.png',1.0,,,,,,
134,548,b'pear_s_001156.png',4.0,,,,,,
135,549,b'plaice_s_000110.png',1.0,,,,,,
136,551,b'computer_keyboard_s_002296.png',5.0,,,,,,
137,558,b'bartlett_pear_s_000444.png',4.0,,,,,,
138,572,b'rose_s_001319.png',2.0,,,,,,
139,573,b'soda_can_s_000473.png',3.0,,,,,,
140,579,b'plaice_s_000047.png',1.0,,,,,,
141,582,b'poppy_s_001264.png',2.0,,,,,,
142,586,b'disciotis_venosa_s_000196.png',4.0,,,,,,
143,587,b'macoun_s_000441.png',4.0,,,,,,
144,590,b'bartlett_pear_s_000233.png',4.0,,,,,,
145,591,b'poppy_s_001733.png',2.0,,,,,,
146,592,b'bartlett_pear_s_000472.png',4.0,,,,,,
147,595,b'yellowtail_flounder_s_000243.png',1.0,,,,,,
148,596,b'coffee_can_s_001622.png',3.0,,,,,,
149,600,b'tv_s_001357.png',5.0,,,,,,
150,604,b'discharge_lamp_s_001516.png',5.0,,,,,,
151,607,b'butterfly_orchid_s_000865.png',2.0,,,,,,
152,613,b'rainbow_trout_s_001311.png',1.0,,,,,,
153,625,b'sunflower_s_001371.png',2.0,,,,,,
154,628,b'shark_s_001677.png',1.0,,,,,,
155,631,b'valencia_orange_s_000296.png',4.0,,,,,,
156,632,b'clock_s_002064.png',5.0,,,,,,
157,641,b'lamp_s_001826.png',5.0,,,,,,
158,643,b'cichlid_fish_s_000302.png',1.0,,,,,,
159,646,b'verpa_s_000264.png',4.0,,,,,,
160,649,b'orchid_s_000751.png',2.0,,,,,,
161,650,b'dwarf_tulip_s_000093.png',2.0,,,,,,
162,656,b'shark_s_002270.png',1.0,,,,,,
163,658,b'red_delicious_s_000750.png',4.0,,,,,,
164,660,b'jug_s_000102.png',3.0,,,,,,
165,668,b'desk_phone_s_000500.png',5.0,,,,,,
166,670,b'dessert_plate_s_000127.png',3.0,,,,,,
167,671,b'bartlett_pear_s_000211.png',4.0,,,,,,
168,676,b'rose_s_000222.png',2.0,,,,,,
169,681,b'tangerine_s_000443.png',4.0,,,,,,
170,685,b'bartlett_s_000838.png',4.0,,,,,,
171,691,b'turbot_s_001406.png',1.0,,,,,,
172,699,b'milk_can_s_000439.png',3.0,,,,,,
173,713,b'mushroom_s_000703.png',4.0,,,,,,
174,715,b'stingray_s_000665.png',1.0,,,,,,
175,719,b'poppy_s_001782.png',2.0,,,,,,
176,727,b'poppy_s_002772.png',2.0,,,,,,
177,732,b'goldfish_s_002650.png',1.0,,,,,,
178,734,b'flounder_s_000775.png',1.0,,,,,,
179,735,b'computer_keyboard_s_000890.png',5.0,,,,,,
180,737,b'poppy_s_001857.png',2.0,,,,,,
181,739,b'rose_s_000257.png',2.0,,,,,,
182,743,b'rose_s_001882.png',2.0,,,,,,
183,747,b'clock_s_001539.png',5.0,,,,,,
184,749,b'plate_iron_s_000997.png',3.0,,,,,,
185,751,b'tulip_s_000947.png',2.0,,,,,,
